"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"94333","722","86384","945","297","116","60889","1357","25198","1221","7949","640","0500000US05007","Benton County, Arkansas"
"14870","327","12611","357","125","64","11402","387","1084","242","2259","262","0500000US05009","Boone County, Arkansas"
"4537","146","3527","193","22","19","2806","200","699","147","1010","142","0500000US05011","Bradley County, Arkansas"
"1936","119","1443","135","24","32","1130","120","289","81","493","101","0500000US05013","Calhoun County, Arkansas"
"11161","366","9272","427","140","81","7253","437","1879","276","1889","277","0500000US05015","Carroll County, Arkansas"
"4308","189","3127","211","10","10","2581","200","536","123","1181","140","0500000US05017","Chicot County, Arkansas"
"8505","274","6968","314","16","17","5698","306","1254","229","1537","182","0500000US05019","Clark County, Arkansas"
"6441","206","4949","219","22","16","4043","250","884","153","1492","188","0500000US05021","Clay County, Arkansas"
"10731","313","8846","361","46","40","7468","338","1332","206","1885","216","0500000US05023","Cleburne County, Arkansas"
"3292","144","2566","158","37","28","1814","163","715","133","726","99","0500000US05025","Cleveland County, Arkansas"
"8962","405","6356","423","27","28","5274","398","1055","226","2606","276","0500000US05027","Columbia County, Arkansas"
"8475","242","6592","282","34","25","5065","295","1493","246","1883","205","0500000US05029","Conway County, Arkansas"
"40800","579","36410","652","51","52","31803","737","4556","540","4390","421","0500000US05031","Craighead County, Arkansas"
"23701","393","19701","517","250","126","16481","564","2970","339","4000","417","0500000US05033","Crawford County, Arkansas"
"18756","310","14963","406","78","35","13294","425","1591","243","3793","348","0500000US05035","Crittenden County, Arkansas"
"6694","222","5141","254","16","16","4370","299","755","163","1553","176","0500000US05037","Cross County, Arkansas"
"3033","164","2324","191","18","19","1723","202","583","132","709","115","0500000US05039","Dallas County, Arkansas"
"5111","201","3834","223","53","44","2489","216","1292","183","1277","206","0500000US05041","Desha County, Arkansas"
"7018","240","5671","293","59","71","4665","309","947","203","1347","194","0500000US05043","Drew County, Arkansas"
"44095","623","39257","695","230","119","33521","774","5506","540","4838","426","0500000US05045","Faulkner County, Arkansas"
"6800","261","5313","311","147","73","4087","321","1079","234","1487","245","0500000US05047","Franklin County, Arkansas"
"5000","264","4140","276","0","19","2913","322","1227","247","860","181","0500000US05049","Fulton County, Arkansas"
"39894","775","34533","803","205","132","30128","854","4200","484","5361","503","0500000US05051","Garland County, Arkansas"
"6780","231","5942","241","44","31","4914","291","984","207","838","171","0500000US05053","Grant County, Arkansas"
"16879","336","14378","476","45","34","12541","510","1792","283","2501","320","0500000US05055","Greene County, Arkansas"
"7971","318","6231","344","24","20","5334","338","873","158","1740","292","0500000US05057","Hempstead County, Arkansas"
"12377","343","9979","449","116","68","7909","462","1954","327","2398","308","0500000US05059","Hot Spring County, Arkansas"
"5096","230","3990","216","29","27","3174","193","787","163","1106","191","0500000US05061","Howard County, Arkansas"
"14268","396","11759","373","133","81","8720","424","2906","406","2509","275","0500000US05063","Independence County, Arkansas"
"5049","239","4285","254","50","29","2841","200","1394","189","764","133","0500000US05065","Izard County, Arkansas"
"6095","286","4482","319","16","21","3744","306","722","146","1613","220","0500000US05067","Jackson County, Arkansas"
"26977","486","21841","565","179","73","15069","524","6593","519","5136","418","0500000US05069","Jefferson County, Arkansas"
"9800","246","7737","338","54","36","6251","330","1432","219","2063","258","0500000US05071","Johnson County, Arkansas"
"2859","160","1969","154","43","38","1553","149","373","74","890","110","0500000US05073","Lafayette County, Arkansas"
"6531","189","5087","190","16","11","4079","197","992","156","1444","144","0500000US05075","Lawrence County, Arkansas"
"3352","195","2308","220","68","55","1692","196","548","122","1044","165","0500000US05077","Lee County, Arkansas"
"3795","374","2904","345","21","25","2189","310","694","135","891","171","0500000US05079","Lincoln County, Arkansas"
"5440","226","4404","292","134","105","3382","307","888","171","1036","222","0500000US05081","Little River County, Arkansas"
"8464","259","7066","294","57","37","5770","331","1239","176","1398","174","0500000US05083","Logan County, Arkansas"
"26868","397","23430","515","142","85","20671","614","2617","377","3438","360","0500000US05085","Lonoke County, Arkansas"
"6195","193","4790","222","55","35","3740","248","995","188","1405","207","0500000US05087","Madison County, Arkansas"
"6669","312","5590","317","22","20","4883","272","685","194","1079","157","0500000US05089","Marion County, Arkansas"
"16748","439","14029","483","70","49","11942","527","2017","283","2719","344","0500000US05091","Miller County, Arkansas"
"16888","392","13711","427","59","46","10974","466","2678","353","3177","340","0500000US05093","Mississippi County, Arkansas"
"3326","166","2394","197","15","16","1795","194","584","122","932","134","0500000US05095","Monroe County, Arkansas"
"3761","228","2818","230","29","27","2182","192","607","135","943","150","0500000US05097","Montgomery County, Arkansas"
"3303","243","2315","251","89","59","1745","257","481","150","988","186","0500000US05099","Nevada County, Arkansas"
"2899","200","2117","172","8","11","1708","178","401","120","782","145","0500000US05101","Newton County, Arkansas"
"10055","389","7110","378","73","66","5956","377","1081","193","2945","311","0500000US05103","Ouachita County, Arkansas"
"3708","174","2954","212","3","4","2430","227","521","116","754","144","0500000US05105","Perry County, Arkansas"
"7498","278","5362","317","24","24","4512","308","826","169","2136","230","0500000US05107","Phillips County, Arkansas"
"4299","182","3220","206","7","9","2617","202","596","111","1079","156","0500000US05109","Pike County, Arkansas"
"9437","245","7538","321","66","46","6549","329","923","153","1899","193","0500000US05111","Poinsett County, Arkansas"
"8204","262","6628","310","65","50","5092","367","1471","271","1576","191","0500000US05113","Polk County, Arkansas"
"22628","479","19599","485","207","89","16052","624","3340","409","3029","354","0500000US05115","Pope County, Arkansas"
"3826","139","2931","170","18","18","2065","144","848","153","895","115","0500000US05117","Prairie County, Arkansas"
"157083","1310","135551","1598","662","196","116872","1739","18017","1121","21532","1111","0500000US05119","Pulaski County, Arkansas"
"7455","239","5759","286","70","47","4649","268","1040","200","1696","233","0500000US05121","Randolph County, Arkansas"
"9319","283","6974","326","32","22","4765","347","2177","281","2345","233","0500000US05123","St. Francis County, Arkansas"
"43604","612","39175","611","160","64","35037","697","3978","489","4429","386","0500000US05125","Saline County, Arkansas"
"3855","222","2835","202","26","32","2092","206","717","153","1020","158","0500000US05127","Scott County, Arkansas"
"3271","218","2457","203","48","33","1878","215","531","145","814","146","0500000US05129","Searcy County, Arkansas"
"50670","642","42727","730","94","48","36603","837","6030","515","7943","629","0500000US05131","Sebastian County, Arkansas"
"5854","177","4796","239","21","23","4108","250","667","141","1058","190","0500000US05133","Sevier County, Arkansas"
"7354","281","5915","330","35","23","4213","287","1667","269","1439","195","0500000US05135","Sharp County, Arkansas"
"4954","236","3774","270","52","41","2300","243","1422","272","1180","205","0500000US05137","Stone County, Arkansas"
"15904","462","11405","519","32","25","9432","507","1941","320","4499","365","0500000US05139","Union County, Arkansas"
"6852","254","5362","276","100","49","4096","306","1166","213","1490","198","0500000US05141","Van Buren County, Arkansas"
"85891","711","78127","841","427","172","65708","1270","11992","988","7764","614","0500000US05143","Washington County, Arkansas"
"29263","455","24768","577","101","75","21352","576","3315","465","4495","421","0500000US05145","White County, Arkansas"
"2890","149","1823","138","2","3","1558","144","263","69","1067","129","0500000US05147","Woodruff County, Arkansas"
"7491","268","5736","305","49","45","4927","331","760","175","1755","221","0500000US05149","Yell County, Arkansas"
"572870","1547","535962","1636","1717","316","498861","2054","35384","1223","36908","1045","0500000US06001","Alameda County, California"
"299","67","272","64","0","12","254","59","18","14","27","17","0500000US06003","Alpine County, California"
"14090","432","12577","459","178","89","11378","516","1021","258","1513","245","0500000US06005","Amador County, California"
"86797","860","78815","909","554","130","71815","971","6446","537","7982","622","0500000US06007","Butte County, California"
